,E_Equipment Serial Number,M_Module Serial Number,E_OEM Nameplate SN,M_Module OEM Nameplate SN,P_Site Customer Legacy Code,P_Site Customer Name,P_Plant Name,P_Site Country,P_Sales Region,E_Equipment Type,M_Module Type,E_Equipment Code,M_Module Code,E_Equipment Model,M_Module Model,E_Equipment Status,M_Module Status,E_Manufacturing Location,M_Module Manufacturing Location,E_Contract Type,M_Module Contract Type,P_Plant Account Manager Fullname,P_Plant Account Manager SSO or 4-3-1,P_Country Code 2Alpha,P_Cust Parent Commercial Entity Code,P_Cust Parent Commercial Entity Name,P_Cust Global Commercial Entity Name,P_Cust Global Commercial Entity Code,P_Site Operator Address Line 1,P_Site Operator Address Line 2,P_Site Operator City,P_Site Operator Country,P_Site Operator Country Iso Code,P_Site Operator Country Iso Name,P_Site Operator Postal Code,P_Site Operator State,P_Site Owner Country,P_Site Owner Country Iso Code,P_Site Owner Country Iso Name,P_Cust Parent HQ Adr Line 1,P_Cust Parent HQ Adr Line 2,P_Cust Parent HQ City,P_Cust Parent HQ Country,P_Cust Parent HQ Legacy Code,P_Cust Parent HQ Party Name,P_Cust Parent HQ State,P_Cust Parent HQ Zip Code,P_Cust Site Trade Style Name,P_GE Industry,P_Gps Coordinates Verified,P_Merged To Plant Sys Id,P_Network Name,P_Network Type,P_Site Operator Legacy Code,P_Site Operator Name,P_Site Owner Legacy Code,P_Site Owner Name,P_Plant Address Verified,P_Plant Latitude,P_Plant Longitude,P_Plant Record Status,P_Plant Status,P_Plant Sys Id,P_Sanctioned Country,P_Site Address Line 1,P_Site Address Line 2,P_Site City,P_Site Country ISO Name,P_Site Postal Code,P_Site State,P_Watchlist Flag,P_PLANT Parent Sys Id,B_Block Sys Id,B_Block Name,B_Block Status,B_Block Parent Sys Id,B_Block Record Status,B_Merged To Block Sys Id,B_Block Type,T_Compr Sour Service,T_Location,T_Merged To Train Sys Id,T_Train Commissioning Date,T_Train Name,T_Train Parent Sys Id,T_Train Record Status,T_Train Service Type,T_Train Status,T_Train Sys Id,E_Account Manager Fullname,E_Account Manager SSO or 4-3-1,E_Agreement ID,E_Agreement Name,E_Altitude,E_Anti Ice Sys,E_Combustion System,E_Compr Cylinder Lube,E_Compr Cylinder Valve,E_Compr Impeller/Cylinder Number,E_Compr Impeller Size,E_Compr Phase Num,E_Compr Pressure Class,E_Compr Process Gas,E_Compr Sealing,E_Control Curve Doc Code,E_Control Curve Type,E_Control OEM,E_Control System,E_Control Type,E_Cooling System,E_Contract Job Number,E_Contract End Date,E_Contract Start Date,E_Design Humidity,E_Driver/Driven Equipment,E_DS Exception,E_Design Ambient Temp,E_Duty Cycle,E_Environment,E_Equipment Class,E_Expected COD,E_Actual COD,E_Install Start Date,E_Equipment Latitude,E_Equipment Longitude,E_Equipment Name,E_Equipment Parent Sys Id,E_Equipment Record Status,E_Equipment Sys Id,E_Excitation System,E_Exciter Config,E_Exciter Model,E_Exciter OEM,E_Exciter Type,E_Expected Retirement Year,E_Extendor Kit Installed,E_Ibh Installed,E_Ibh System Inlet Exhaust,E_Igv,E_Inlet Filter,E_Inlet Pres Drop,E_Machine Mgt Sys,E_Main Warranty Active,E_Main Warranty End Date,E_Main Warranty Pm Fullname,E_Main Warranty PM SSO or  4-3-1,E_Main Warranty Project,E_Main Warranty Start Date,E_Manufacturer Group,E_Master Job,E_Max Ambient Temp,E_Merged To Equipment Sys Id,E_Min Ambient Temp,E_Equipment Job Number
72,GG679124,,679124,,CAT699060,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,MV23 - CIDADE DE SAO PAULO,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,InService,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,CE0042376,MODEC,MITSUI ENGINEERING AND SHIPBUILDING,CE0001245,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,BR,Brazil,27933-420,RJ,BRAZIL,BR,Brazil,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,RJ,27933-420,,,N,,,,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,N,-25.79829,-43.26268,Active,InService,PLA00235457,N,Fpso Cidade De Sao Paulo Mv23,Rua Lady Esteves Da Conceio 770,MACAE,,27933-420,RJ,N,MPCCE0001245,,,,,,,,,Offshore - FPSO,,2013-03-27,MV23 - CIDADE DE SAO PAULO-GT-TGB,PLA00235457,Active,Cogeneration,InService,UNI272754,"Oliveira Filho, Jorge",210030578,AGR440,Modec,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"2392148,239X025,2854490,2854491,ON SHORE,EW MODEC Onshore,285X165",2038-06-30,2016-07-01,,,,,,Marine (salty),LM2500+G4,,2011-09-01,,-25.7983,-43.2627,MV23 - CIDADE DE SAO PAULO-GT-TGB-GG,UNI272754,Active,SY1411230,,,,,,,,,,,,,,,,,,,,GE,,,,,
73,GG679225,,679225,,CAT699060,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,MV23 - CIDADE DE SAO PAULO,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,InService,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,CE0042376,MODEC,MITSUI ENGINEERING AND SHIPBUILDING,CE0001245,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,BR,Brazil,27933-420,RJ,BRAZIL,BR,Brazil,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,RJ,27933-420,,,N,,,,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,N,-25.79829,-43.26268,Active,InService,PLA00235457,N,Fpso Cidade De Sao Paulo Mv23,Rua Lady Esteves Da Conceio 770,MACAE,,27933-420,RJ,N,MPCCE0001245,,,,,,,,,Offshore - FPSO,,2013-03-27,MV23 - CIDADE DE SAO PAULO-GT-TGA,PLA00235457,Active,Cogeneration,InService,UNI268683,"Oliveira Filho, Jorge",210030578,AGR440,Modec,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"2392148,239X025,2854490,2854491,ON SHORE,EW MODEC Onshore,285X165",2038-06-30,2016-07-01,,,,,,Marine (salty),LM2500+G4,,2015-11-23,,-25.7983,-43.2627,MV23 - CIDADE DE SAO PAULO-GT-TGA-GG,UNI268683,Active,SY1411229,,,,,,,,,,,,,,,,,,,,GE,,,,,
74,GG679104,,679104,,CAT699060,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,MV23 - CIDADE DE SAO PAULO,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,Storage,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,CE0042376,MODEC,MITSUI ENGINEERING AND SHIPBUILDING,CE0001245,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,BR,Brazil,27933-420,RJ,BRAZIL,BR,Brazil,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,RJ,27933-420,,,N,,,,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,N,-25.79829,-43.26268,Active,InService,PLA00235457,N,Fpso Cidade De Sao Paulo Mv23,Rua Lady Esteves Da Conceio 770,MACAE,,27933-420,RJ,N,MPCCE0001245,,,,,,,,,,,,,,,,,,"Oliveira Filho, Jorge",210030578,AGR440,Modec,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"2392148,239X025,2854490,2854491,ON SHORE,EW MODEC Onshore,285X165",2038-06-30,2016-07-01,,,,,,Marine (salty),LM2500+G4,,2008-10-31,,-25.7983,-43.2627,MV23 - CIDADE DE SAO PAULO-GT-TGC-GG,PLA00235457,Active,SY1411228,,,,,,,,,,,,,,,,,,,,GE,,,,,
75,GG676185,,676185,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,,,,,,,,,Onshore,,2019-08-30,CC LNG-GT-12TC-1421,PLA00236588,Active,Simple Cycle,InService,UNI270152,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-08-30,,27.91358,-97.2866,CC LNG-GT-12TC-1421-GG,UNI270152,Active,SY1411154,,,,,,,,,,,,,,,,,,,,GE,,,,,
76,GG676178,,676178,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,,,,,,,,,Onshore,,2019-08-30,CC LNG-GT-12TC-1411,PLA00236588,Active,Simple Cycle,InService,UNI268416,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-08-30,,27.91358,-97.2866,CC LNG-GT-12TC-1411-GG,UNI268416,Active,SY1411153,,,,,,,,,,,,,,,,,,,,GE,,,,,
77,GG676222,,676222,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,,,,,,,,,Onshore,,2019-08-30,CC LNG-GT-12TC-1611,PLA00236588,Active,Simple Cycle,InService,UNI260949,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-08-30,,27.91358,-97.2866,CC LNG-GT-12TC-1611-GG,UNI260949,Active,SY1411152,,,,,,,,,,,,,,,,,,,,GE,,,,,
78,GG676181,,676181,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,,,,,,,,,Onshore,,2019-08-30,CC LNG-GT-12TC-1521,PLA00236588,Active,Simple Cycle,InService,UNI259857,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-08-30,,27.91358,-97.2866,CC LNG-GT-12TC-1521-GG,UNI259857,Active,SY1411151,,,,,,,,,,,,,,,,,,,,GE,,,,,
79,GG676184,,676184,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,,,,,,,,,Onshore,,2019-08-30,CC LNG-GT-12TC-1621,PLA00236588,Active,Simple Cycle,InService,UNI256823,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-08-30,,27.91358,-97.2866,CC LNG-GT-12TC-1621-GG,UNI256823,Active,SY1411150,,,,,,,,,,,,,,,,,,,,GE,,,,,
80,GG676180,,676180,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,,,,,,,,,Onshore,,2019-08-30,CC LNG-GT-12TC-1511,PLA00236588,Active,Simple Cycle,InService,UNI254410,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-08-30,,27.91358,-97.2866,CC LNG-GT-12TC-1511-GG,UNI254410,Active,SY1411149,,,,,,,,,,,,,,,,,,,,GE,,,,,
81,GG676232,,676232,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330971,CC LNG TR3,InService,PLA00236588,Active,,,,,,2021-03-26,CC LNG TR3 Methane2 - 23TC-1621,BLC330971,Active,,InService,UNI758780,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2021-03-26,,27.91358,-97.2866,CC LNG TR3 Methane2 - 23TC-1621/GG,UNI758780,Active,SY1411148,,,,,,,,,,,,,,,,,,,,GE,,,,,
82,GG676235,,676235,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330971,CC LNG TR3,InService,PLA00236588,Active,,,,,,2021-03-26,CC LNG TR3 Methane1 - 23TC-1611,BLC330971,Active,,InService,UNI758779,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2021-03-26,,27.91358,-97.2866,CC LNG TR3 Methane1 - 23TC-1611/GG,UNI758779,Active,SY1411147,,,,,,,,,,,,,,,,,,,,GE,,,,,
83,GG676237,,676237,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330971,CC LNG TR3,InService,PLA00236588,Active,,,,,,2021-03-26,CC LNG TR3 Ethylene2 - 23TC-1521,BLC330971,Active,,InService,UNI758778,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2021-03-26,,27.91358,-97.2866,CC LNG TR3 Ethylene2 - 23TC-1521/GG,UNI758778,Active,SY1411146,,,,,,,,,,,,,,,,,,,,GE,,,,,
84,GG676233,,676233,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330971,CC LNG TR3,InService,PLA00236588,Active,,,,,,2021-03-26,CC LNG TR3 Ethylene1 - 23TC-1511,BLC330971,Active,,InService,UNI758777,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2021-03-26,,27.91358,-97.2866,CC LNG TR3 Ethylene1 - 23TC-1511/GG,UNI758777,Active,SY1411145,,,,,,,,,,,,,,,,,,,,GE,,,,,
85,GG676239,,676239,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330971,CC LNG TR3,InService,PLA00236588,Active,,,,,,2021-03-26,CC LNG TR3 Propane2 - 23TC-1421,BLC330971,Active,,InService,UNI758776,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2021-03-26,,27.91358,-97.2866,CC LNG TR3 Propane2 - 23TC-1421/GG,UNI758776,Active,SY1411144,,,,,,,,,,,,,,,,,,,,GE,,,,,
86,GG676234,,676234,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330971,CC LNG TR3,InService,PLA00236588,Active,,,,,,2021-03-26,CC LNG TR3 Propane1 - 23TC-1411,BLC330971,Active,,InService,UNI758775,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2021-03-26,,27.91358,-97.2866,CC LNG TR3 Propane1 - 23TC-1411/GG,UNI758775,Active,SY1411143,,,,,,,,,,,,,,,,,,,,GE,,,,,
87,GG676187,,676187,,CAT691252,CORPUS CHRISTI LIQUEFACTION LLC,CC LNG,UNITED STATES,North America,Gas Generator,,LM2500+G4,,HB-MGD,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0018200,CORPUS CHRISTI LIQUEFACTION,CORPUS CHRISTI LIQUEFACTION,CE0018200,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",TX,77002-2835,CC LNG,Natural gas,Y,,,,079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",079435874,"CORPUS CHRISTI LIQUEFACTION, LLC",Y,27.91358,-97.28663,Active,InService,PLA00236588,N,2822 LA QUINTA RD.,,GREGORY,United States of America,78359-0000,TX,N,MPCCE0018200,BLC330410,CC LNG TR1,InService,PLA00236588,Active,,,,Onshore,,2019-03-01,CC LNG TR1 Methane2 - 11TC-1621,BLC330410,Active,Simple Cycle,InService,UNI271725,"Rigaglia, Pierangelo",105046212,AGR480,Cheniere Corpus Christis,,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,,,,,"2854430,2854431,2392096,239X010,285X124,285X125,2392394",2038-02-08,2017-10-01,,,,,,Marine (salty),LM2500+G4,,2019-03-01,,27.91358,-97.2866,CC LNG TR1 Methane2 - 11TC-1621/GG,UNI271725,Active,SY1411142,,,,,,,,,,,,,,,,,,,,GE,,,,,
